Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Asus,ZenFone 2 Laser (ZE600KL),ASUS_Z00M,2778-2873MB,Phone,Qualcomm MSM8939,720x1080,320,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone 3 Max (ZC553KL),ASUS_X00DD,1853-2866MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25;27,3.1;3.ﬁub;;;
Asus,ZenFone 6 (A601CG),ASUS_Z002,1990-1996MB,Phone,Intel Z2560,720x1280,320,x86;armeabi-v7a;armeabi,18;19;21,2.0;;;;
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KDA,3745-3748MB,Phone,Qualcomm SDM630,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2;;;;;
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KD_3,3740-3742MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2;;;;;
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KD_1,5738-5740MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2;;;;;
Asus,ZenFone 4 (ZE554KL),ASUS_Z01KD_2,3745-3748MB,Phone,Qualcomm SDM630,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;26,3.2;;;;;
Asus,ZenPad 10 (Z301MFL),ASUS_P00L_2,2528MB,Tablet,Mediatek MT8735,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1;;;;;;
Asus,ZenFone 2 Laser (ZE601KL),ASUS_Z011,1837-2873MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21;23,3.0;3.Oca;;;;
Asus,ZenFone 3 Deluxe (ZS570KL),Z016,5735-5737MB,Phone,Qualcomm MSM8996,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
Asus,ZenFone 3 Deluxe (ZS570KL),Z016_1,5735-5737MB,Phone,Qualcomm MSM8996,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
Asus,ZenFone 3 (ZE520KL),ASUS_Z017D_1,1849-3606MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;24;26,3.1;3.ﬁub;;;
